iso3c,year,ca_gdp
PER,2018,-1.27850714659718
PER,2017,-0.953080061958555
PER,2016,-2.29429403266562
PER,2015,-4.70878071644278
PER,2014,-4.36595061444558
PER,2013,-4.85170158694027
PER,2012,-2.87262299972341
PER,2011,-1.96422212136988
PER,2010,-2.41611244249563
PER,2009,-0.598288729210878
PER,2008,-4.41112077807089
PER,2007,1.42931463476859
PER,2006,3.24050716695869
PER,2005,1.5088102611942
PER,2004,0.0288861085400799
PER,2003,-1.61504289543387
PER,2002,-2.02693936398419
PER,2001,-2.31175794610238
PER,2000,-2.98741137277728
PER,1999,-2.74952502384786
PER,1998,-6.01059688640088
PER,1997,-5.7922394566417
PER,1996,-6.59496815056511
PER,1995,-8.67435304434383
PER,1994,-6.01858298886919
PER,1993,-7.07477935578993
PER,1992,-5.24379733033856
PER,1991,-4.3795451250649
PER,1990,-5.37288606183094
PER,1989,-2.53538308021229
PER,1988,-11.7797906974204
PER,1987,-5.59890601138475
PER,1986,-6.37463472368434
PER,1985,0.676449233400277
PHL,2020,3.20065009232564
PHL,2019,-0.808557862529766
PHL,2018,-2.55939306312468
PHL,2017,-0.652387929422696
PHL,2016,-0.376262661565375
PHL,2015,2.37094985955594
PHL,2014,3.61563913358328
PHL,2013,4.00964958369033
PHL,2012,2.65327822085759
PHL,2011,2.4091906991357
PHL,2010,3.44540917722718
PHL,2009,4.80078349700448
PHL,2008,0.0792959465366613
PHL,2007,5.17497335468166
PHL,2006,5.4545225788942
PHL,2005,1.8529075905422
PHL,2004,1.71049031113279
PHL,2003,0.327439073939328
PHL,2002,-0.334490425515421
PHL,2001,-2.21740069327136
PHL,2000,-2.66284885287764
PHL,1999,-3.35706942771647
PHL,1998,2.07537904684556
PHL,1997,-4.62349405712408
PHL,1996,-4.17652404044575
PHL,1995,-2.33919983744538
PHL,1994,-4.03229461116698
PHL,1993,-4.86165174206389
PHL,1992,-1.65501732404596
PHL,1991,-1.99675016579611
PHL,1990,-5.33575810861436
PHL,1989,-3.00120952944866
PHL,1988,-0.903779279057262
PHL,1987,-1.17486771670517
PHL,1986,2.80105391342831
PHL,1985,-0.10297045051637
POL,2020,2.39835922164097
POL,2019,-0.272945793712772
POL,2018,-1.96597240687912
POL,2017,-1.18631982461877
POL,2016,-1.06875807090352
POL,2015,-1.3254755565429
POL,2014,-2.97288032663133
POL,2013,-1.98155143805472
POL,2012,-4.11182485634079
POL,2011,-5.11055687403888
POL,2010,-5.16657584018312
POL,2009,-3.94518857698649
POL,2008,-6.74648774312839
POL,2007,-6.68396289819493
POL,2006,-4.64906335604984
POL,2005,-3.30488692842897
POL,2004,-5.96912639653316
POL,2003,-2.50410381576022
POL,2002,-2.77624121851834
POL,2001,-3.09972932809545
POL,2000,-5.98021918224644
POL,1999,-7.31498200628172
POL,1998,-3.93707818430142
POL,1997,-3.59238073994115
POL,1996,-2.02968632371393
POL,1995,0.59787790958511
POL,1994,0.57218339303966
POL,1993,-6.02645744303895
POL,1992,-3.29032970311139
POL,1991,-2.50991404542249
POL,1990,4.64853694341554
PRT,2020,-0.629832722737581
PRT,2019,0.765771121812588
PRT,2018,0.7276825303456
PRT,2017,1.56389644169824
PRT,2016,1.42555528145605
PRT,2015,0.508297093307308
PRT,2014,0.315317528197345
PRT,2013,1.53973827822347
PRT,2012,-1.52721549957903
PRT,2011,-6.11854777822696
PRT,2010,-10.2611634070617
PRT,2009,-10.3235445210728
PRT,2008,-11.859800223599
PRT,2007,-9.65792414363096
PRT,2006,-10.2302140524554
PRT,2005,-9.60021052870909
PRT,2004,-7.98339399989486
PRT,2003,-6.6669232574819
PRT,2002,-8.31755894208286
PRT,2001,-10.4344116184086
PRT,2000,-10.8233299998961
PRT,1999,-8.85368265057396
PRT,1998,-6.76039275351895
PRT,1997,-5.66728405930872
PRT,1996,-4.0005138112894
PRT,1995,-0.111582055664553
PRT,1994,-2.20261544389875
PRT,1993,0.245135265861298
PRT,1992,-0.17123684919746399
PRT,1991,-0.802786937062783
PRT,1990,-0.230455705701948
PRT,1989,0.252413720817631
PRT,1988,-1.89146081029746
PRT,1987,0.903181066959785
PRT,1986,3.00815829546084
PRT,1985,1.40133182328916
QAT,2020,-2.06750396645727
QAT,2019,2.41529489464043
QAT,2018,9.08292624449306
QAT,2017,3.98856755019176
QAT,2016,-5.45006834991535
QAT,2015,8.50181661296372
QAT,2014,23.9592464211398
QAT,2013,30.4240297828632
QAT,2012,33.1847220547568
QAT,2011,31.0675107947676
ROU,2020,-5.14043847567815
ROU,2019,-4.86977887140915
ROU,2018,-4.60748728741797
ROU,2017,-3.19415712159883
ROU,2016,-2.10324885883263
ROU,2015,-0.637491637323498
ROU,2014,-0.341464408053705
ROU,2013,-1.13746709997941
ROU,2012,-4.57804292376289
ROU,2011,-4.81588301986922
ROU,2010,-4.98543687917278
ROU,2009,-4.72925693261463
ROU,2008,-11.658522565437
ROU,2007,-13.7032326042104
ROU,2006,-10.6661036918405
ROU,2005,-8.67463205439941
ROU,2004,-8.5123232185601
ROU,2003,-5.72774106022585
ROU,2002,-3.31050332793727
ROU,2001,-5.51799372952363
ROU,2000,-3.63721875382544
ROU,1999,-3.60747182475184
ROU,1998,-6.99585947248816
ROU,1997,-5.91423004615668
ROU,1996,-6.96048631418109
ROU,1995,-4.73949323312222
ROU,1994,-1.42321276155065
ROU,1993,-4.45352169616387
ROU,1992,-5.99482518410403
ROU,1991,-3.50772176596034
ROU,1990,-8.50766056649959
ROU,1989,6.065025
ROU,1988,9.70203033838973
ROU,1987,5.3667731629393
RUS,2020,2.36911533657246
